Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-07-13,271.3633728027344,273.16936668942884,267.8962453327776,268.02177128034975,26120100
2021-07-14,272.8409729003906,273.95160771933604,270.94803359403,272.68644543825303,23113700
2021-07-15,271.41162109375,272.8409780406265,270.2526798424339,272.3484235878521,22604200
2021-07-16,271.14129638671875,274.3766481153408,269.89543854443895,272.4161262963488,26186800
2021-07-19,267.5292663574219,270.7742552906223,265.05688541600085,269.3835373269348,32935600
2021-07-20,269.76019287109375,271.3537152113503,266.80492468426036,268.5143352713567,26259700
2021-07-21,271.76898193359375,271.88487017645934,267.7996622499302,269.3545452968825,24364300
2021-07-22,276.3468017578125,276.6172175095201,273.7198932527501,274.1255021437583,23384100
2021-07-23,279.7559814453125,280.06500696204523,276.6944625563651,277.5346818630906,22768100
2021-07-26,279.1571350097656,279.7752448979074,276.82964417119246,279.10885806923653,23176100
2021-07-27,276.7330627441406,279.66899631395427,273.26593545929944,279.5241360182565,33604100
2021-07-28,276.42401123046875,280.21949839038996,274.1157957556486,279.09919630124614,33566900
2021-07-29,276.6944274902344,278.74186496050413,276.2887891833402,276.443316658676,18168300
2021-07-30,275.1588439941406,276.8489495390509,274.193069397049,275.409954820777,20944800
2021-08-02,275.0719299316406,276.95517272658464,274.02887685382683,276.55920160196104,16267400
2021-08-03,277.29327392578125,277.3995244867195,274.2800610691696,275.6514743426838,17879000
2021-08-04,276.7041015625,277.7471252056278,274.90774540592605,276.42401866440616,16191300
2021-08-05,279.6110534667969,279.71730399952617,276.3081208174658,277.06142383162046,13900200
2021-08-06,279.5531311035156,279.5917703432516,277.7761092260167,278.6356628397924,16589300
2021-08-09,278.46185302734375,281.5716492622996,277.9596607093601,279.8332662997247,16117600
2021-08-10,276.6365051269531,279.3503296535524,275.4389539402985,278.91571925292214,18616600
2021-08-11,277.1290588378906,278.7805253038503,276.0763384903963,277.3801402153559,13955900
2021-08-12,279.8912048339844,280.0457323456055,276.5399649505444,276.82004790742695,14561300
2021-08-13,282.8271789550781,282.87545590974054,279.3986604538494,279.5725223314767,18249000
2021-08-16,284.5172119140625,284.7296835116026,280.09394760339165,283.15546614888757,22507600
2021-08-17,283.0492248535156,283.3872518796963,281.1176755303159,282.38286745226713,20075300
2021-08-18,281.3172302246094,285.2748073508947,280.87210209094656,282.584814824955,21813000
2021-08-19,287.1616516113281,287.8389999584008,279.29489637088864,279.34326574016694,29850500
2021-08-20,294.50592041015625,295.9380140450742,288.40990321723297,290.0161620223418,40817600
2021-08-23,294.7864685058594,295.51218606965,292.07713474618356,293.43180162602147,22830200
2021-08-24,292.822265625,295.75416411720346,292.22234368388376,295.14455649009165,18175800
2021-08-25,292.2319641113281,294.72841958967183,290.69344638765335,294.44780052423965,20006100
2021-08-26,289.406494140625,292.6383529203464,289.2710422129665,291.24497278987053,17666100
2021-08-27,290.01617431640625,291.12893565694833,287.2197276707217,289.3097983902033,22605700
2021-08-30,293.7608337402344,294.37044130921845,291.31274730875384,291.3708023601306,16348100
2021-08-31,292.106201171875,294.64137014097446,291.73849949919145,294.56397325018554,26285300
2021-09-01,292.05780029296875,295.3090307450356,291.72881183267793,293.0641370435522,18983800
2021-09-02,291.3997802734375,293.5382197138092,290.46118439661,292.4158025586035,16285600
2021-09-03,291.3902587890625,292.8029813341607,290.5387450809366,291.24509158871757,14747900
2021-09-07,290.46124267578125,291.34178368779095,288.54536686307154,291.26438679344585,17180400
2021-09-08,290.4902038574219,290.87724729980795,287.8389252710793,290.0741328950949,15046800
2021-09-09,287.6260986328125,292.3577919400871,287.3841927466621,291.08052177412657,19927000
2021-09-10,286.1359558105469,290.2096722757966,285.8166530274544,288.75823692995704,19633400
2021-09-13,287.37451171875,288.8743459549039,284.5587236147856,287.9163785501458,23652900
2021-09-14,290.0838623046875,291.6320658371256,288.44857619930013,289.86129826524393,21853400
2021-09-15,294.9510192871094,295.4348310648799,292.04814862048624,293.44152890282754,28356300
2021-09-16,295.3381042480469,295.4251868367225,291.02251085299673,293.9253819269781,19550800
2021-09-17,290.1612854003906,294.641387411537,289.83229691858133,294.32208461521674,41372500
2021-09-20,284.7715759277344,289.0484846659132,280.1463369138932,286.73585039423017,38278700
2021-09-21,285.25543212890625,287.90674093489395,284.5490857833115,286.1166313271891,22364100
2021-09-22,288.91302490234375,290.49994168937883,284.9748195189621,287.1229449687735,26626300
2021-09-23,289.8612976074219,291.1579095731574,287.8970230543972,289.17429318047436,18604600
2021-09-24,289.6581726074219,290.0935855729012,287.316510162556,288.5744387428514,14999000
2021-09-27,284.6458435058594,286.8713659435622,283.4556558635324,286.5520631529288,23571700
2021-09-28,274.3406677246094,281.36562541354573,273.59560808741685,280.41734353295584,43186200
2021-09-29,274.8050537109375,277.48535997741925,273.847115966111,275.8694453882578,26353700
2021-09-30,272.7924499511719,278.5110792660629,272.5021451623447,276.4597220216069,32343600
2021-10-01,279.7399597167969,280.591473121402,272.18282254521546,272.9859370571118,30086300
2021-10-04,273.9439392089844,278.43372747696765,271.1765495236149,278.0950532665713,31350700
2021-10-05,279.4109802246094,280.99786745988877,274.85345213293385,274.85345213293385,24993000
2021-10-06,283.62017822265625,284.1233614627478,276.2662614750365,276.52750925233056,28002600
2021-10-07,285.3038330078125,287.0358875725448,284.40395011964176,285.62313581249157,20430500
2021-10-08,285.3038330078125,287.0358875725448,284.2491267954087,286.6294726552418,17685700
2021-10-11,284.70391845703125,288.3228214749395,283.2718248179271,283.436333832164,19298600
